звездный;астральный,звездный
прибавление;дополнение,прибавление,добавление
прибавление1;надбавка,добавление,набавка,прибавление,присовокупление,прибавка,добавка
прибавлять;прибавить,присовокуплять,добавить,добавлять,примолвить,присовокупить,прибавлять
прибавляться;присовокупиться,прибавиться,добавляться,присовокупляться,прибавляться,добавиться
признание;признание,исповедь
признаваться;открыться,сознаться,признаться,признаваться,открываться,исповедаться,сознаваться
признание1;признание,покаяние
покаянный1;повинный,покаянный
признаваться1;сознаться,признаться,расколоться,сознаваться,раскалываться,покаяться,каяться,повиниться,виниться,признаваться
проговариваться;протрепаться,разбалтывать,выбалтывать,сболтнуть,болтнуть,обмолвливаться,выболтать,проговариваться,разболтать,проговориться,обмолвиться,болтать,проболтаться,пробалтываться
болтун1;болтун,говорун
болтунья1;трещотка,болтунья,болтушка,говорунья,сорока
пустословие;трепотня,словоблудие,празднословие,языкоблудие,пустословие,треп,трепология,словоизвержение,словеса,суесловие,болтовня,болтология,трепня,пустозвонство,слова
пустослов;треполог,трепач,крикун,пустозвон,празднослов,болтун,пустослов,болтолог,пустомеля,балабон,суеслов,пустобрех,пустолайка,пустоплет,балаболка,балабол
пустословка;пустомеля,пустословка,болтунья,трепачка,балаболка,крикунья
пустота;бессодержательность,малосодержательность,пустота,беспредметность,пустопорожность
пустословный;суесловный,малосодержательный,пустой,беспредметный,пустопорожний,пустозвонный,бессодержательный,празднословный,пустословный
пустословить;пустословить,суесловить,трепать,празднословить,трепаться,пустозвонить,балаболить,балабонить,болтать
разглашение;разбалтывание,разнесение,распространение,разглашение,выбалтывание
разглашать;разгласить,расславлять,трепать,протрубить и раструбить,разнести,растрепать,трезвонить,разносить,растрезвонить,разболтать,разглашать,распространять,растрезвонивать,разбалтывать,выбалтывать,разблаговестить и проблаговестить,распространить,раззванивать,раззвонить,благовестить,выболтать,трубить,расславить,звонить
разглашаться;разбалтываться,разглашаться,распространиться,распространяться,разнестись,выбалтываться,разноситься
распространяться;разлетаться,распространиться,распространяться,разнестись,разлететься,расползтись,расползаться,разноситься
рассказ;повествование,рассказ,сообщение,рассказывание,изложение
рассказ1;рассказ,новелла
рассказчик;повествователь,рассказчик
рассказчица;повествовательница,рассказчица
рассказывать;излагать,поведать,сообщить,расписывать,рассказывать,сообщать,повествовать,выкладывать,расписать,рассказать,сказывать,выложить,обсказать,поведывать,обсказывать,изложить
рассказываться;расписываться,сообщаться,излагаться,рассказываться,сказываться,повествоваться
сказануть;брякнуть,выдать,загнуть,сказануть,загибать,отпустить,бухнуть,сморозить,брякать,ляпнуть,отпускать,ляпать,выдавать,хватить,бухать
сообщение;оповещение,объявление,информирование,уведомление,указание,предупреждение,информация,осведомление,извещение,сообщение,преподнесение
вестник;информант,герольд,вестник,уведомитель,глашатай,вестовщик,осведомитель,информатор
осведомительница;осведомительница,уведомительница
сообщение1;объявление,оповещение,сведения,уведомление,указание,новость,предупреждение,информация,заявление,извещение,слух,ведомость,известие,сообщение,весть
информаторский;информаторский,осведомительский
информационный;уведомительный,предупреждающий,информационный,осведомительный,оповестительный,предупредительный
извещаться;предупреждаться,информироваться,извещаться,осведомляться,уведомляться,оповещаться
сообщать;оповещать,доносить,указывать,докладывать,донести,заявлять,уведомить,возвестить,осведомлять,сообщать,указать,известить,уведомлять,преподнести,возвещать,проинформировать,объявлять,оповестить,заявить,сообщить,информировать,предупредить,объявить,преподносить,предупреждать,осведомить,извещать,доложить
сообщаться;заявляться,сообщаться,объявляться,докладываться,указываться,возвещаться,преподноситься
сплетни;злословие и злословье,злоречие,злоязычие,толки,шушуканье,трезвон,пересуды,шептание,худословие,звон,перетолки,сплетни,разговоры
злоязычность;худословие,злоречие,злоязычие,злоязычность
сплетник;злословник,шептун,сплетник,злоязычник,звонарь
сплетница;сплетница,кумушка,злоязычница,шептунья
сплетня;слава,шепот,слух и слухи,молва,толки,сплетня,разговоры
насплетничать;насудачить,нашептать,насплетничать
посплетничать;позлословить,посудачить,посплетничать
сплетничать;судачить,сплетничать,злоязычничать,пересудить,шушукать,шушукаться,шептаться,шептать,пересуживать,трезвонить,звонить,злословить
упоминание;называние,упоминание,затрагивание
упоминать;называть,отметить,затронуть,поминать,касаться,упомянуть,помянуть,упоминать,назвать,коснуться,затрагивать,отмечать
упоминаться;называться,упоминаться,затрагиваться,отмечаться
характеристика;высказывание,рекомендация,квалификация,характеристика
характеристика1;рекомендация,характеристика,высказывание,отзыв,аттестация
характеризовать;отзываться,отнестись,квалифицировать,высказаться,охарактеризовать,аттестовать,рекомендовать,характеризовать,отозваться,относиться,высказываться
характеризоваться;аттестоваться,рекомендоваться,характеризоваться,квалифицироваться
возражение;возражение,прекословие,противоречие,пиканье
возражение1;возражение,протест
возражать;пискнуть,перечить,пикать,протестовать,противоречить,пикнуть,спорить,возникать,прекословить,возразить,возражать
договор;соглашение,договор,сговор,согласие и согласье,уговор,договоренность
договорный;договорный,договорной,условленный,уговорный,условный
договариваться;столковываться,столковаться,договориться,сладиться,сговориться,уговариваться,соглашаться,уговориться,сговариваться,договариваться,условливаться,условиться,стакиваться,стакнуться,уславливаться,согласиться,слаживаться
договорились;лады,согласен,договорились
обсуждение;обсуждение,прения,разбор,дискуссия,рассмотрение,дебаты
обсуждать;дебатировать,разбирать,обговорить,обсуждать,дискуссировать,дискутировать,обговаривать,трактовать,разобрать,обкашлять,рассматривать,рассмотреть,перетирать,перетереть,обсудить
обсуждаться;перетираться,рассматриваться,дебатироваться,трактоваться,разбираться,обсуждаться
ответ;отклик,ответ,отзыв
отвечать;отзываться,откликаться,отвечать,отозваться,ответствовать,ответить,откликнуться
поддакивание;подсюсюкивание,поддакивание,подпевание,подъелдыкивание
поддакивать;подсюсюкнуть,поддакнуть,подъелдыкнуть,подъелдыкивать,подпеть,подпевать,вторить,поддакивать,подсюсюкивать
разговор;беседа,трепотня,собеседование,треп,базар,трещание,разговор,болтовня,болтология,диалог,речь,трепня
договориться;доболтаться,договориться,добазариться
заговорить;заговорить,разговориться
заговориться;забеседоваться,заговориться,разговориться,заболтаться
поразговаривать;потрепаться,побалакать,потрындеть,поговорить,потрещать,полялякать,побеседовать,поболтать,потолковать,пообщаться,поразговаривать,побазарить,покалякать
разговаривать;лялякать,беседовать,разговаривать,переговариваться,трепаться,балакать,калякать,общаться,трещать,базарить,собеседовать,толковать,трындеть,болтать,говорить
ругань1;поношение,брань,проклятия,лай,ругань,ругательство
бранчливый;сварливый,бранчливый,бранливый
наругаться;налаяться,набраниться,наругаться
поругаться1;побраниться,поругаться
поругиваться1;побраниваться,поругиваться
ругаться1;цапаться,пикироваться,шуметь,грызться,браниться,лаяться,перебраниваться,ссориться,переругиваться,перекоряться,собачиться,свариться,ругаться
бранчливо;бранчливо,сварливо
секретничанье;секретничанье,перешептывание,шушуканье
секретник;шептун,секретник
секретница;секретница,шептунья
нашептаться;нашушукаться,нашептаться
посекретничать;посекретничать,пошушукаться,пошушукать,пошептаться
секретничать;шушукаться,шушукать,перешептываться,секретничать,шептаться
совещание;пятиминутка,планерка,оперативка,летучка,совещание,совет
посоветоваться;посовещаться,посоветоваться
советоваться;советоваться,посоветоваться,совещаться
спор;словопрение,диспут,прения,дискуссия,полемика,пререкание,дебаты,спор,препирание,препирательство,контроверза,пря
спорность;дискуссионность,спорность
спорщик;спорщик,диспутант,дискутант,полемист
спорщица;полемистка,спорщица
спорный;спорный,дискуссионный
дебатироваться;дискуссироваться,дискутироваться,дебатироваться
поспорить;поспорить,подискутировать
спорить;пререкаться,дебатировать,полемизировать,диспутировать,спорить,дискуссировать,препираться,дискутировать
вызов;приглашение,вызов,требование
вызывать1;обусловить,приводить,вызывать,порождать,родить,породить,обусловливать,вызвать,создать,создавать,рождать,привести,влечь,обуславливать
вызываться;выкликаться,требоваться,выкликиваться,приглашаться,вызываться
зов;призывание и призыванье,подзывание,призыв,подзыв,зов
зов1;клик,зов,призыв,клич
звать;призывать,кричать,подзывать,позвать,созвать,подкликать,призвать,подкликнуть,подозвать,созывать,звать,скликать,кликнуть и покликать,кликать,сзывать,скликивать,крикнуть и покричать
обращение;обращение,призыв,апеллирование
обращение1;отношение,апелляция,обращение,призыв,воззвание
обращать;направлять,обращать,адресовать,обратить,направить
обращаться;отнестись,обратиться,обращаться,апеллировать,взывать,адресоваться,относиться,воззвать
окрик;окрик,оклик
окрикать;окликнуть,окрикивать,окрикать,окликать,окрикнуть
приглашение;приглашение,ангажемент,зазывание
приглашенный;приглашенный,гость
приглашать;зазвать,звать,приглашать,ангажировать,зазывать,позвать,пригласить,просить
приказ;команда,веление,приказ,повеление,распоряжение,предписание,указ,приказание,наказ
приказывать;указывать,приказать,повелевать,приказывать,распоряжаться,наказать,распорядиться,указать,велеть,повелеть,предписывать,предписать,наказывать,командовать,скомандовать
приказываться;предписываться,приказываться
просьба;мольба,просьба,заклинание,моленье,призыв,упрашивание
просительный;просящий,умоляющий,просительный,молящий
просить;умолять,молить,умолить,упрашивать,заклинать,попросить,упросить,просить
просительно;просяще,просительно,умоляюще
просьба1;челобитная,прошение,просьба,слезница
выпрашивание;вымаливание,выклянчивание,выпрашивание,выцыганивание
проситель;проситель,челобитчик
просительница;просительница,челобитчица
выпрашиваться;вымолиться,вымаливаться,выклянчиваться,выпроситься,испрашиваться,выпрашиваться
напрашиваться;набиться,напроситься,навязываться,напрашиваться,навязаться,набиваться
просить1;стрельнуть,вымаливать,испрашивать,поклониться,канючить,выклянчивать,выпросить,цыганить,клянчить,попросить,выканючивать,кланяться,выканючить,шкулять,испросить,стрелять,просить,выклянчить,выпрашивать,вымолить,выцыганить,выцыганивать
проситься;попроситься,выпроситься,проситься,выпрашиваться
прошу;попрошу,прошу,пожалуйста
расспрашивание;выпытывание,допрос,расспрашивание,выспрашивание,расспросы
расспрашивать;допытать,выпытывать,допросить,допытывать,расспрашивать,выпытать,выспросить,допрашивать,допытаться,расспросить,допытываться,выспрашивать
советоваться1;консультироваться,советоваться,проконсультироваться,посоветоваться
спрашивание;запрос,опрос,спрашивание,спрос,справка,вопрос,запрашивание
вопросительный;вопрошающий,любопытствующий,вопросительный
вопросный;анкетный,опросный,вопросный
спрашивать;спросить,спрашивать,вопросить,полюбопытствовать,запрашивать,опрашивать,интересоваться,опросить,вопрошать,осведомляться,справляться,поспрошать,запросить,узнавать,любопытствовать,узнать,справиться,поспросить,осведомиться,поинтересоваться
ходатайство;хлопоты,просьба,ходатайство
ходатай;ходатай,проситель
ходатайство1;прошение,петиция,ходатайство
ходатайствовать;ходатайствовать,хлопотать,просить
высмеивание;глумление и глумленье,осмеяние,обсмеивание,стеб,осмеивание и осмеиванье,измывательство,издевательство,ехидничание и ехидничанье,высмеивание,посмеяние,зубоскальство
насмешка1;ехидца,надсмешка,перец,укол,колкость,стеб,насмешка,сарказм,подкол,издевка,издевательство,сатира,смешки,яд
насмешливость1;ехидство,колючесть,глумливость,язвительность,саркастичность,ядовитость,колкость,ехидность,насмешливость,желчность,сатиричность
насмешник1;сатирик,зубоскал,насмешник,перец,язва
насмешница1;язва,зубоскалка,насмешница
насмешливый1;ехидный,колючий,едкий,издевательский,саркастичный,стебный,насмешливый,глумливый,колкий,саркастический,сатиричный,ядовитый,сардонический,желчный,язвительный,измывательский,сатирический
высмеиваться;высмеиваться,обсмеиваться,осмеиваться
насмехаться1;осмеивать,просмеять,съехидничать,посмеяться,издеваться,обсмеивать,засмеять,насмеяться,оборжать,глумиться,смеяться,обсмеять,надсмехаться,просмеивать,осмеять,ехидничать,засмеивать,насмешничать,куражиться,ехидствовать,стебаться,изгаляться,высмеивать,застебать,высмеять,зубоскалить,стебать,язвить,надсмеяться,съязвить,насмехаться,измываться
поиздеваться;поехидничать,постебать,поизмываться,поизгаляться,покуражиться,позубоскалить,постебаться,поиздеваться,поглумиться
насмешливо1;желчно,язвительно,ехидно,сардонически,измывательски,глумливо,ядовито,насмешливо,колюче,колко,едко,саркастично,сатирически,саркастически,издевательски
иронизирование1;вышучивание,подтрунивание,подшучивание,иронизирование,стеб,зубоскальство
ирония1;ирония,шпилька,подковырка,стеб,подковыр,подколка,шутка,подкол,смешки
шутник1;прикольщик,приколист,зубоскал,шутник,пересмешник
шутница1;приколистка,шутница,прикольщица,пересмешница,зубоскалка
иронический1;колкий,ироничный,иронический,стебный
пошутить;поиронизировать,поприкалываться,пошутить,позубоскалить,постебаться
шутить1;подшутить,стебаться,потешаться,приколоться,прикалываться,подтрунивать,шутить,подсмеиваться,подсмеяться,вышучивать,подшучивать,зубоскалить,подтрунить,смеяться,иронизировать,вышутить
шутливо1;иронично,шутливо,колко,иронически
крик1;галдение,вопль,гик,крик,гиканье,рявканье,грай,галдеж,вскрик,гам,рев,покрик,гомон,гарканье,ор,оранье,гвалт,покрикиванье,вопеж
кричать1;гомониться,гикнуть,кричать,надрываться,крикнуть и прокричать,орать,рявкнуть,вскрикнуть,горланить,прогорланить,рявкать,прореветь,проорать,горлопанить,надсаживаться,вопить,гомонить,хайлать,гаркнуть,гаркать,провопить,надсажаться,реветь,гикать,галдеть,вскрикивать,покрикивать
критика;внушение,пистон,продергивание,проработка,выволочка,хула,встрепка,разнос,нагоняй,протягивание,взбучка,проборка,бичевание,выговор,порицание,головомойка,хаянье,критика,взыскание,нахлобучка,прорабатывание,втык,протаскивание,отчитывание,баня,накачка,фитиль,расхаивание,встряска,вздрючка,охаивание,осуждение и осужденье,распекание
критикан;ругатель,критикан,хулитель
критиканка;критиканка,ругательница,пила
критический;бранный,критический,негативный,ругательный,нелестный,критиканский,уничтожающий,зубодробительный,осудительный,разносный,неодобрительный,осуждающий,разгромный,отрицательный,неблагоприятный,критичный
критиковать;порицать,протащить,бичевать,критиковать,критиканствовать,обругать,распечь,бранить,пропесочить,прохватывать,крыть,распушить,разбранить,продергивать,клясть,протаскивать,продернуть,вздрючивать,выругать,расхаивать,построить,дрючить,поругивать,разносить,утюжить,отутюжить,прорабатывать,пробирать,пушить,греть,прохватить,строжить,выговаривать,отчитывать,шерстить,расхаять,осуждать,песочить,взгреть,взбучить,проработать,грызть,отделать,вздрючить,хаять,пробрать,протянуть,осудить,строить,отчитать,охаивать,пилить,разнести,выбранить,ругать,разругать,хулить,распекать,протягивать,жучить,клеймить,отделывать,охаять,разгромить,громить,обругивать
критиковаться;расхаиваться,прорабатываться,бичеваться,критиковаться,распекаться,осуждаться,охаиваться,порицаться
критически;неодобрительно,критически,нелестно,отрицательно,критично,уничтожающе,бранно,осудительно,негативно,неблагоприятно,осуждающе
одергивать;одернуть,укоротить,укорачивать,осадить,осаживать,одергивать
отговаривать;удержать,отвращать,отвратить,отсоветовать,отговорить,отговаривать,удерживать,не советовать
похвала1;одобрение,похвала,похвальба,хвальба
похвальность;положительность,одобрительность,похвальность,позитивность,комплиментарность
похвальный1;позитивный,похвальный,комплиментарный,положительный,лестный,благоприятный,хвалебный,одобрительный
хвалить1;расхвалить,захвалить,отметить,хвалить,расхваливать,превознести,превозносить,рекламировать,разрекламировать,восхвалить,отмечать,нахвалить,восхвалять,выхвалить,похвалить
хвалиться;нахваливаться,отмечаться,выхваляться,расхваливаться,хвалиться,захваливаться,превозноситься,рекламироваться,восхваляться,одобряться
похвально1;похвально,лестно,положительно,одобрительно,благоприятно,комплиментарно,позитивно
прерывание;перерыв,перебивка,обрывание,перебивание,прерывание
прерывать;перерывать,прервать,оборвать,обрезать,перебить,обрывать,перервать,перебивать,прерывать
прерываться;прерываться,перерываться,перебиваться,обрываться
придирка;прицепка,придирка
придирчивость;придирчивость,привязчивость
придирчивый;въедливый,привязчивый,придирчивый
придираться;привязаться,привязываться,прицепляться,придираться,цепляться,прицепиться,прискребаться,придраться
проклинать;проклясть,клясть,проклинать
прославление;возвеличение,прославление,возвеличивание,увековечение,апофеоз,превознесение,воспевание,превозношение,восхваление
прославлять;возвеличивать,прославлять,славить,петь,превознести,воспевать,воспеть,превозносить,восславлять,восславить,возвеличить,увековечивать,увековечить,восхвалить,прославить,восхвалять
прославляться;увековечиваться,восславляться,прославляться,превозноситься,воспеваться,возвеличиваться,восхваляться
бранчливый1;сварливый,бранчливый,бранливый
ругательный1;бранный,ругательный,поносный,последний,ругательский
ругать;кричать,припечатать,обругать,бранить,собачить,материть,крыть,лаять,отчихвостить,обозвать,обзывать,чистить,честить,клясть,обложить,сволочиться,послать,чихвостить,выбранить,ругать,орать,припечатывать,хулить,обкладывать,посылать,костить,изругать,выругать и отругать,ругнуть,сволочить,обматерить,стервить,поносить,обругивать,костерить,покрыть
бранно1;бранно,ругательски
совет;подсказка,рацея,вразумление,указание,мораль,проповедь,поучение,рекомендация,наставление,назидание,нотация,нравоучение,урок,совет
советчик;советчик,советник,указчик
советчица;советчица,указчица
назидательный;душеполезный,поучающий,наставительный,учительный,сентенциозный,наставнический,менторский,докторальный,поучительный,назидательный,душеспасительный
советовать;советовать,вразумить,указывать,научить,направить,указать,рекомендовать,порекомендовать,учить,нравоучать,подсказывать,наставить,наставлять,поучать,подсказать,посоветовать,направлять,вразумлять
назидательно;наставительно,назидательно,учительно,докторально
убеждение;внушение,убеждение,доказывание,уверение,клятва
божба;божба,клятва,уверение,заверение
убедительный;резонный,доказательный,веский,весомый,убедительный
убеждать;внушить,убедить,доказывать,божиться,клясться,заверять,уверять,уверить,побожиться,поклясться,убеждать,заверить,доказать,внушать
убеждаться;убеждаться,удостоверяться,увериться,утверждаться,уверяться,утвердиться,убедиться,удостовериться
уговаривание;уговоры,убеждение,уламывание,уговаривание,упрашивание,агитация,агитирование,увет,убалтывание,увещание
убедительный1;веский,убедительный,доказательный
уговаривать;улестить,улещивать,агитировать,умаслить,уболтать,упрашивать,уломать,упросить,уговаривать,убеждать,увещать,увещевать,уговорить,убалтывать,убедить,улещать,склонить,урезонивать,уламывать,склонять,сагитировать,обработать,урезонить,обрабатывать,умасливать
указание;предписывание,предписание,указывание,указание,инструктирование
указание1;веление,директива,повеление,указание,инструкция,рекомендация,установка,предписание,приказание,наказ
директивный;циркулярный,директивный,инструктивный
указывать;указывать,предписывать,предписать,инструктировать,указать
упрек;попрек,укоризна,укор,нарекание,упрек
укоризненный1;укоризненный,укорительный
упрекать;попенять,корить,попрекнуть,упрекнуть,пенять,журить,укорять,пожурить,укорить,упрекать,попрекать
упрекаться;упрекаться,попрекаться
уязвление;уязвление,задевание,подкусывание,подковыривание,подкалывание,поддевание,укалывание
укол;подколка,подкусывание,подкол,подковырка,укол,колкость,подковыр
уязвлять1;колоть,подцепить,подкусить,уязвить,подковыривать,уедать,задевать,задеть,поддеть,поддевать,подколоть,подкусывать,уколоть и кольнуть,подцеплять,уколоть,уесть,жалить,уязвлять,подкалывать,подковырнуть,укалывать
глупыш1;глупыш,бестолковка,даун
бестолково;глупо,бестолково,неразумно,неумно
дар;талант,дарование,дар,гений
даровитость;даровитость,гениальность,талантливость,одаренность
даровитый;гениальный,талантливый,одаренный,даровитый
даровито;талантливо,даровито,гениально
дурак1;болван,остолоп,балбес,осел,обалдуй,балда,дурень,оболтус,дебил,дурак,даун,дуралей,тупоумец,недоумок,туполом,олух,глупец,идиот,придурок,дурачина,кретин
дурной;дебильный,кретинский,глупый,придурочный,дурной
глупеть;дуреть,глупеть
глупо1;неразумно,глупо,дебильно,кретински,придурочно,тупо
забывчивость;беспамятность,забывчивость,безголовость
забывчивый;беспамятный,забывчивый,безголовый
забывать;забыться,забывать,позабываться,забыть,забываться,запамятовать,позабыться
знаток1;знаток,дока,монстр,спец,эксперт,специалист,ценитель,зубр
всеведающий;всеведающий,всезнающий
знать;знать,ведать
обезумевший;ошалелый,офигевший,чумной,обезумевший,ошалевший,шалый,шальной,чумовой,очумевший
обезуметь;офонареть,сдуреть,ошалеть,опсихеть,обезуметь,офигеть,очуметь,вздуриться,сдуриться,обеспамятеть,ополоуметь
осведомленность;грамотность,знакомство,осведомленность,информированность,компетентность
осведомленный;сильный,знакомый,наслышанный,сведущий,знающий,компетентный,осведомленный,грамотный,информированный
грамотно;компетентно,грамотно
остроумие;остроумие,языкастость
остряк1;стебок,хохмач,остроумец,остроумник,приколист,острослов,остряк
остроумно1;остроумно,остро,бойко
проницательность;прозорливость,зоркость,проницательность
проницательный1;ясновидящий,острый,прозорливый,зоркий,проницательный
пытливость1;любознательность,пытливость,дотошность
пытливый1;пытливый,любознательный,любопытный,дотошный
пытливо1;испытующе,дотошно,пытливо,любопытно
разум;рассудок,разум,ум
разумность1;разумность,трезвость,здравость,благоразумие
разумный1;здравый,умный,благоразумный,разумный,трезвый
разумно1;здраво,трезво,благоразумно,умно,разумно
умнеть;умнеть,трезветь
сознание;сознание,уразумение,голова,разум,смысл,интеллект,ум,рассудок,мозги
сознательный;мозговитый,сознательный,умный,разумный,рассудочный,интеллектуальный,головастый
умный1;мозговитый,башковитый,неглупый,прозорливый,смышленый,проницательный,умный,толковый,головастый,мудрый
сознательно;рассудочно,сознательно,умно,разумно
сообразительность1;сообразительность,догадливость
сообразительный1;понятливый,смекалистый,схватчивый,сметливый,восприимчивый,сообразительный
соображать;догадываться,понимать,смекать,соображать,смыслить
сообразительно;сметливо,догадливо,смышлено,сообразительно,смекалисто,понятливо
тупость;скудоумие,недоумие,тупость,тупоумие,дубинноголовость,недомыслие,малоумие,неразумие,тупорылость
тугодум;тяжелодум,тяжкодум,тугодум
тупица1;лох,недоумок,дубина,малоумок,тупица,дуб
тупой1;крепкоголовый,туповатый,дебильный,несообразительный,туполобый,тупой,тупоголовый,непонятливый,тупоумный,крепколобый,недогадливый,несмышленый,лопоухий,бестолковый,твердолобый,дурной
тупо;тупо,неразумно
тупость1;скудоумие,несообразительность,тупость,тупоумие,бестолковость,тупоголовость,недогадливость,несмышленость,непонятливость,малоумие,неразумие
тупо1;тупо,непонятливо,бестолково,недогадливо
ум;смышленость,проницательность,прозорливость,мудрость,ум
умственный;умственный,интеллектуальный,мыслительный
умнеть1;умнеть,мудреть
умно1;проницательно,прозорливо,смышлено,толково,мудро,умно
чутье;инстинкт,интуиция,чутье,нюх
интуитивный;инстинктивный,интуитивный
интуитивно;интуитивно,инстинктивно
вдумываться;вникнуть,вдумываться,вникать,вдуматься
взвешенность;зрелость,обдуманность,взвешенность
взвешенный;зрелый,обдуманный,взвешенный
взвешивать;вынашивать,мозговать,рассчитывать,выносить,обдумать,лелеять,взвешивать,продумывать,взлелеять,рассчитать,обдумывать,взвесить,продумать
